date,rating,content,product_url
03 ago. 2023,5,Amo esse oleo muito cheiroso entrada rápida.,https://www.mercadolivre.com.br/oleo-inoar-argan-oil-system-antifrizz-de-7ml/p/MLB19159890
12 ago. 2024,5,Muito bom mesmo.,https://www.mercadolivre.com.br/progressiva-cabelo-liso-beleza-sem-formol-orgnica-1-litro/p/MLB37232703
25 nov. 2024,5,Alisa perfeitamente e deixa o cabelo com brilho.,https://produto.mercadolivre.com.br/MLB-1737592216-let-me-be-escova-progressiva-1-litro-passo-unico-sem-formol-_JM
17 jun. 2024,2,Não gostei do resultado final.,https://www.mercadolivre.com.br/botox-capilar-profissional-sem-formol-italian-beauty-1kg/p/MLB19525645
30 ago. 2024,5,"Produto bom ,gostei !.",https://www.mercadolivre.com.br/perfume-feminino-cute-woman-eau-de-parfum-100ml-la-rive/p/MLB6290388
16 nov. 2024,5,"Muito bom. Recomendo.
Top de mais.",https://www.mercadolivre.com.br/kit-cauterizaco-capilar-forever-liss-com-blindagem-biomimetica-500g/p/MLB27668359
28 out. 2023,5,Excelente produto amei muito bom mesmo.,https://produto.mercadolivre.com.br/MLB-1866978867-kit-completo-defrizz-liss-effect-ckamura-4-produtos-_JM
18 dez. 2023,5,Produto cumpre o que promete.,https://www.mercadolivre.com.br/borabella-pra-tudo-mascara-cronograma-capilar-25-ativos-300g/p/MLB19566930
28 jan. 2025,5,Amei todos os produtos!!!!.,https://www.mercadolivre.com.br/oleo-amend-nutritivo-marula-fabulous-nutrition-60ml/p/MLB21631785
28 abr. 2022,5,"Esse produto é simplesmente maravilhoso. Poucos passos, fácil de manusear, cheiro leve, não agride e dá um brilho para os fios. Já havia comprado o frasco menor para experimentar, voltei para comprar o maior porque vale muito a pena para alinhar os fios e tirar o frizz.",https://produto.mercadolivre.com.br/MLB-1456356569-borabella-selagem-orgnica-3d-semidefinitiva-1l-_JM
